統計期,統計區,總計,紙類及紙製品,金屬類,塑膠及橡膠製品,玻璃製品,紡織品,家電用品,電池,資訊及通信物品,農藥容器及特殊環境用藥容器,食用油,其他
102年 7月,苗栗縣,5851,2777,1270,728,519,80,98,34,30,4,0,312
102年 7月,彰化縣,14641,7922,2174,1577,1605,432,315,84,67,18,0,447
102年 7月,南投縣,5770,3127,816,792,477,53,59,31,19,3,0,394
102年 7月,雲林縣,5988,2540,1515,577,617,62,212,107,23,15,0,321
102年 7月,嘉義縣,5640,2041,1724,882,443,167,63,22,13,2,0,284
102年 7月,屏東縣,8397,3800,1762,1112,900,99,123,47,26,11,0,518
102年 7月,臺東縣,2509,608,300,899,558,11,16,14,4,4,0,98
102年 7月,花蓮縣,3588,1907,566,528,285,40,88,24,63,2,0,83
102年 7月,澎湖縣,1189,604,129,90,256,20,13,10,7,2,0,57
102年 7月,基隆市,6775,4094,472,613,841,56,63,4,23,2,0,608
102年 7月,新竹市,5833,3230,503,302,1223,222,38,64,15,0,0,235
102年 7月,嘉義市,4077,1977,1049,349,149,47,165,22,36,1,0,284
102年 7月,金門縣,756,383,165,85,39,3,18,2,4,0,0,57
102年 7月,連江縣,205,56,71,38,7,2,4,1,1,0,0,25
102年 8月,新北市,42122,23708,9584,3719,2216,426,543,140,142,2,0,1643
102年 8月,臺北市,41508,21758,15204,1534,786,99,310,25,146,0,0,1645
102年 8月,桃園市,28799,16215,5293,2866,1886,184,631,481,192,2,0,1047
102年 8月,臺中市,32588,18144,5943,3012,3151,189,494,131,161,11,0,1352
102年 8月,臺南市,22671,12680,5913,1640,1165,120,174,94,78,6,0,801
102年 8月,高雄市,35111,14724,7496,5321,3834,533,557,192,230,12,0,2211
102年 8月,宜蘭縣,6018,2668,1166,872,533,109,91,57,24,21,0,477
102年 8月,新竹縣,6143,2790,2025,678,438,35,71,27,30,1,0,48
102年 8月,苗栗縣,5657,2672,1323,734,503,82,103,35,30,4,0,170
102年 8月,彰化縣,14985,8056,2328,1623,1671,417,322,79,53,25,0,410
102年 8月,南投縣,6613,3977,850,824,498,53,91,29,29,3,0,259
102年 8月,雲林縣,5792,2360,1368,661,585,62,268,106,23,19,0,340
102年 8月,嘉義縣,5748,1918,1767,879,510,230,81,24,14,3,0,321
102年 8月,屏東縣,8450,3736,1841,1016,1016,83,121,47,28,11,0,550
102年 8月,臺東縣,2458,721,300,888,395,18,16,11,4,4,0,100
102年 8月,花蓮縣,3573,1703,792,490,330,27,68,29,19,2,0,114
102年 8月,澎湖縣,1157,604,126,105,228,18,9,7,6,1,0,53
102年 8月,基隆市,6550,4015,500,591,997,35,70,4,23,1,0,313
102年 8月,新竹市,5704,3185,522,316,1163,221,39,36,15,0,0,207
102年 8月,嘉義市,4267,2012,1006,396,166,56,171,23,40,0,0,398
102年 8月,金門縣,698,354,149,74,47,6,14,4,6,0,0,45
102年 8月,連江縣,186,51,55,37,8,2,5,1,1,0,0,26
102年 9月,新北市,42032,23172,9446,3958,2098,617,511,136,151,8,0,1935
102年 9月,臺北市,38810,20293,14205,1330,739,97,286,22,303,0,0,1535
102年 9月,桃園市,29105,15929,6335,2685,1815,140,582,434,189,23,0,973
102年 9月,臺中市,31057,17602,5419,2960,3028,189,477,122,153,12,0,1095
102年 9月,臺南市,22873,12827,5921,1643,1169,126,169,89,76,6,0,847
102年 9月,高雄市,34364,14947,7057,5002,3808,510,530,171,152,12,0,2175
102年 9月,宜蘭縣,5795,2659,1112,929,545,109,103,38,21,10,0,270
102年 9月,新竹縣,5992,2690,1887,691,491,34,79,31,28,0,0,60
102年 9月,苗栗縣,6928,2751,2108,662,540,81,105,39,33,4,0,606
102年 9月,彰化縣,15191,8180,2345,1579,1780,502,277,65,48,19,0,396
102年 9月,南投縣,5722,3136,996,772,422,54,63,31,27,3,0,218
102年 9月,雲林縣,6225,2282,1528,687,746,55,183,123,28,15,0,577
102年 9月,嘉義縣,5967,2255,1707,916,414,197,59,23,13,1,0,380
102年 9月,屏東縣,8379,3734,1873,1019,914,91,120,49,27,12,0,539
102年 9月,臺東縣,2359,666,245,839,440,16,10,10,2,4,0,127
102年 9月,花蓮縣,3232,1878,516,379,258,31,69,22,15,3,0,63
102年 9月,澎湖縣,1063,588,103,90,188,13,13,11,6,1,0,50
102年 9月,基隆市,6333,3815,482,609,982,35,65,36,22,1,0,287
102年 9月,新竹市,5392,2794,811,310,960,212,39,56,17,0,0,192
102年 9月,嘉義市,4239,1986,1159,409,159,37,180,24,44,1,0,239
102年 9月,金門縣,736,381,142,89,51,2,17,5,3,0,0,47
102年 9月,連江縣,188,51,54,37,8,2,5,1,1,0,0,28
102年 10月,新北市,43530,24069,9575,4010,2535,466,524,131,144,4,0,2072
102年 10月,臺北市,41749,21921,14918,1799,1122,103,222,24,39,0,0,1602
102年 10月,桃園市,28652,16245,5415,2513,1927,198,747,454,165,2,0,986
102年 10月,臺中市,31232,17613,5376,2969,3140,207,469,122,153,11,0,1173
102年 10月,臺南市,23332,12830,5952,1621,1201,133,173,90,77,6,0,1250
102年 10月,高雄市,34628,16014,6032,5329,3719,498,532,185,162,12,0,2143
102年 10月,宜蘭縣,5911,2663,1206,944,512,116,113,28,35,6,0,287
102年 10月,新竹縣,6147,2740,2014,686,460,37,80,38,28,0,0,64
102年 10月,苗栗縣,6487,3268,1355,706,533,87,104,41,35,4,0,352
102年 10月,彰化縣,14479,7611,2186,1584,1843,448,313,71,55,19,0,349
102年 10月,南投縣,5755,3093,941,822,481,46,100,26,34,2,0,210
102年 10月,雲林縣,6104,2638,1482,660,577,68,197,35,25,15,0,408
102年 10月,嘉義縣,5868,2171,1669,953,432,157,53,26,15,6,0,385
102年 10月,屏東縣,8348,3672,1954,1032,968,91,119,48,27,13,0,424
102年 10月,臺東縣,2324,637,190,912,431,13,10,8,2,3,0,118
102年 10月,花蓮縣,3529,1787,660,472,364,33,87,19,18,3,0,86
102年 10月,澎湖縣,1024,480,172,96,180,13,14,5,4,1,0,59
102年 10月,基隆市,6178,3831,433,608,864,44,67,3,24,2,0,303
102年 10月,新竹市,5310,3014,509,296,907,210,47,76,16,0,0,233
102年 10月,嘉義市,4115,1956,1078,386,161,54,178,23,43,0,0,234
102年 10月,金門縣,889,361,207,109,77,4,49,18,7,0,0,58
102年 10月,連江縣,181,48,53,35,8,2,7,1,1,0,0,26
102年 11月,新北市,45040,24510,10650,4242,2462,441,473,90,125,1,0,2046
102年 11月,臺北市,39194,18522,16690,1347,835,66,260,16,163,0,0,1296
102年 11月,桃園市,26038,13779,6285,2450,1562,168,466,166,165,4,0,995
102年 11月,臺中市,30321,16762,5410,2936,3043,205,448,128,148,12,0,1229
102年 11月,臺南市,23226,12796,5953,1581,1200,127,167,88,73,5,0,1234
102年 11月,高雄市,33360,14310,6452,5810,3289,514,539,239,217,15,0,1975
102年 11月,宜蘭縣,5820,2644,1159,901,510,110,115,40,19,6,0,313
102年 11月,新竹縣,6434,2975,2113,678,431,36,86,34,27,0,0,53
102年 11月,苗栗縣,5776,2651,1321,697,547,96,106,40,34,5,0,278
102年 11月,彰化縣,13719,7131,2172,1400,1810,439,282,61,41,16,0,368
102年 11月,南投縣,5571,2952,950,889,398,61,85,27,31,2,0,176
102年 11月,雲林縣,6182,2297,1799,683,645,61,272,54,22,14,0,336
102年 11月,嘉義縣,5476,1893,1644,829,456,175,63,28,14,5,0,369
102年 11月,屏東縣,8225,3887,1839,998,902,84,118,49,28,10,0,308
102年 11月,臺東縣,2541,744,317,866,445,28,13,19,3,6,0,100
102年 11月,花蓮縣,3493,1997,578,478,260,37,43,21,15,2,0,64
102年 11月,澎湖縣,1048,559,96,119,172,22,14,4,4,1,0,58
102年 11月,基隆市,6047,3741,465,562,860,20,67,4,22,1,0,304
102年 11月,新竹市,5138,2886,536,262,864,216,39,75,12,0,0,248
102年 11月,嘉義市,4136,1877,1146,366,157,41,196,23,45,0,0,285
102年 11月,金門縣,959,412,255,94,71,18,22,6,5,0,0,75
102年 11月,連江縣,177,49,52,32,7,0,6,1,1,0,0,29
102年 12月,新北市,44874,23826,10452,4532,2602,486,464,99,126,3,0,2284
102年 12月,臺北市,39292,19960,14945,1571,857,62,283,20,192,0,0,1402
102年 12月,桃園市,25739,14184,5977,2230,1492,122,457,145,153,2,0,977
102年 12月,臺中市,30781,17193,5369,2952,3161,224,454,120,148,10,0,1149
102年 12月,臺南市,23454,12851,6014,1618,1217,129,164,96,80,6,0,1280
102年 12月,高雄市,34085,14927,6707,5073,3836,576,534,241,150,11,0,2029
102年 12月,宜蘭縣,5943,2645,1203,934,516,120,124,42,22,6,0,330
102年 12月,新竹縣,6593,3013,2168,710,459,35,75,39,27,0,0,67
102年 12月,苗栗縣,6087,2845,1425,726,556,109,116,45,33,5,0,227
102年 12月,彰化縣,13588,7216,2049,1353,1717,449,278,72,52,19,0,383
102年 12月,南投縣,5803,3171,984,737,468,58,95,31,35,1,0,224
102年 12月,雲林縣,5869,2383,1513,645,604,74,282,41,37,16,0,274
102年 12月,嘉義縣,5328,1843,1551,831,411,173,57,25,13,7,0,416
102年 12月,屏東縣,8320,3912,1849,1010,991,108,125,47,28,8,0,243
102年 12月,臺東縣,2550,780,263,876,419,12,11,17,3,54,0,116
102年 12月,花蓮縣,3981,2237,672,490,346,34,80,26,16,2,0,78
102年 12月,澎湖縣,1039,527,59,146,194,21,19,7,5,1,0,61
102年 12月,基隆市,5426,3266,469,502,864,49,57,11,23,2,0,183
102年 12月,新竹市,5269,3038,521,273,871,223,50,50,17,0,0,227
102年 12月,嘉義市,4289,1971,1110,374,144,54,202,24,51,0,0,358
102年 12月,金門縣,1075,514,285,89,63,3,21,6,4,0,0,90
102年 12月,連江縣,191,50,54,30,6,1,5,1,1,0,0,43
103年,新北市,486810,256702,115976,51655,28647,5979,4251,1019,1353,167,35,21029
103年,臺北市,488566,278570,159493,18623,10071,798,3031,478,1000,1,17,16484
103年,桃園市,347147,185499,79055,37297,20810,2123,5276,2137,2710,37,38,12163
103年,臺中市,377447,210157,66337,37607,37495,2542,5387,1498,1870,140,7,14409
103年,臺南市,286507,156739,73431,21779,14603,1714,2205,1338,1053,84,6,13554
103年,高雄市,419479,196618,77900,34861,38183,9606,7765,3055,3382,99,10,48000
103年,宜蘭縣,67903,35434,13151,7294,6359,1459,630,232,176,50,9,3108
103年,新竹縣,79445,36633,25343,8713,5649,388,1063,466,318,6,0,865
103年,苗栗縣,73198,30358,18125,8380,8678,1127,1709,502,554,48,2,3715
103年,彰化縣,164028,89382,21143,16631,20405,6412,3153,627,748,101,6,5420
103年,南投縣,75775,42061,12263,10580,5448,772,1519,469,449,41,4,2171
103年,雲林縣,73257,30053,19457,7669,7315,847,3193,695,360,172,0,3495
103年,嘉義縣,73598,25359,24651,11213,7067,2121,608,220,207,64,4,2084
103年,屏東縣,103153,41197,25151,13743,11621,1252,3397,1210,325,92,3,5163
103年,臺東縣,29825,9334,3074,10686,5336,114,173,182,34,121,68,703
103年,花蓮縣,44822,24566,7635,5849,3933,474,705,259,149,12,1,1240
103年,澎湖縣,13616,7262,1497,1226,2365,233,151,196,55,6,2,621
103年,基隆市,66722,40601,6120,4622,10258,515,657,64,310,8,3,3565
103年,新竹市,75006,43694,7781,5209,11883,2746,571,765,213,2,50,2093
103年,嘉義市,47269,22148,12394,4470,1989,664,2178,253,619,5,1,2548
103年,金門縣,10808,5239,2340,1295,651,51,214,76,73,2,6,863
103年,連江縣,3115,913,906,419,116,10,80,42,10,1,4,614
103年 1月,新北市,48183,26114,10667,4755,2990,667,460,80,126,16,0,2307
103年 1月,臺北市,41760,21758,14770,1694,1389,86,265,14,49,0,0,1734
103年 1月,桃園市,27065,15337,4813,2513,2054,193,462,151,167,4,0,1370
103年 1月,臺中市,34307,18590,6009,3343,3860,282,508,161,169,15,0,1370
103年 1月,臺南市,23633,12804,5924,1692,1594,137,170,93,78,6,0,1136
103年 1月,高雄市,33981,15228,6594,3613,3343,1036,651,233,213,10,0,3059
103年 1月,宜蘭縣,6031,3177,1046,603,617,150,52,18,13,4,0,351
103年 1月,新竹縣,6967,3216,2162,756,511,40,97,39,28,0,0,117
103年 1月,苗栗縣,6346,2734,1453,763,589,126,162,65,53,5,0,397
103年 1月,彰化縣,14554,7816,1879,1470,1883,555,283,69,43,8,0,547
103年 1月,南投縣,6857,3920,934,906,570,78,114,34,28,2,0,272
103年 1月,雲林縣,6358,2538,1503,658,755,83,263,45,28,13,0,473
103年 1月,嘉義縣,5561,2009,1718,850,492,181,63,21,20,8,0,200
103年 1月,屏東縣,8106,3656,1801,1100,982,90,132,55,26,6,0,256
103年 1月,臺東縣,2549,866,253,868,422,18,13,14,3,3,0,89
103年 1月,花蓮縣,3866,1917,740,543,395,58,53,27,14,1,0,118
103年 1月,澎湖縣,1008,648,67,106,89,17,16,8,6,1,0,52
103年 1月,基隆市,6823,4198,538,385,959,69,62,8,29,0,0,574
103年 1月,新竹市,6105,3450,616,345,980,251,54,38,22,0,0,348
103年 1月,嘉義市,4076,1807,1051,381,214,74,206,26,52,1,0,265
103年 1月,金門縣,900,427,202,70,64,2,18,7,8,0,0,101
103年 1月,連江縣,290,68,106,31,9,0,12,0,0,0,0,64
103年 2月,新北市,43323,23388,10244,4920,2317,477,376,102,117,12,0,1369
103年 2月,臺北市,38671,20931,14336,1131,821,65,241,104,77,0,0,964
103年 2月,桃園市,26950,15554,5739,2240,1567,123,369,150,181,5,0,1025
103年 2月,臺中市,31252,17429,5751,2961,3047,199,384,119,223,16,0,1124
103年 2月,臺南市,22545,12693,5906,1574,1134,124,168,89,78,6,0,774
103年 2月,高雄市,33181,16296,6257,2881,3365,531,638,228,213,6,0,2764
103年 2月,宜蘭縣,5519,2956,1013,608,550,102,49,16,12,4,0,208
103年 2月,新竹縣,6149,2892,1845,644,455,42,80,31,25,0,0,135
103年 2月,苗栗縣,5454,2522,1250,684,511,108,144,43,47,5,0,139
103年 2月,彰化縣,13352,7278,1726,1391,1679,539,263,54,42,5,0,375
103年 2月,南投縣,5859,3235,1022,828,447,68,79,36,33,10,0,101
103年 2月,雲林縣,5966,2576,1431,627,648,104,252,41,38,12,0,237
103年 2月,嘉義縣,5932,2224,1768,924,498,199,67,34,72,7,0,139
103年 2月,屏東縣,7948,3631,1809,1027,936,102,128,48,22,6,0,238
103年 2月,臺東縣,2428,719,214,887,505,6,13,13,3,4,0,64
103年 2月,花蓮縣,3863,2117,783,424,264,48,74,18,11,2,0,122
103年 2月,澎湖縣,951,427,60,67,306,18,19,4,5,1,0,44
103年 2月,基隆市,5207,3242,426,327,834,50,48,4,19,0,0,257
103年 2月,新竹市,5340,3150,572,349,745,233,57,100,13,0,0,121
103年 2月,嘉義市,3682,1744,985,334,141,47,185,24,50,0,0,171
103年 2月,金門縣,725,347,185,57,58,6,19,5,7,0,0,42
103年 2月,連江縣,276,75,89,36,7,1,7,6,1,0,0,55
103年 3月,新北市,40829,21021,10139,4480,2415,456,367,85,120,11,0,1735
103年 3月,臺北市,38167,20287,14491,1182,675,36,222,18,59,0,0,1196
103年 3月,桃園市,26101,13963,5912,2701,1552,142,410,158,188,3,0,1072
103年 3月,臺中市,31342,17727,5234,3038,3052,200,438,119,149,11,0,1374
103年 3月,臺南市,23454,12986,6067,1650,1224,120,176,97,82,6,0,1046
103年 3月,高雄市,34695,16541,6429,2987,2943,631,697,261,308,13,0,3886
103年 3月,宜蘭縣,5594,3006,1060,576,523,103,42,22,12,4,0,247
103年 3月,新竹縣,6068,2770,1995,628,455,36,78,29,26,0,0,50
103年 3月,苗栗縣,5787,2515,1292,688,632,106,148,41,39,6,0,320
103年 3月,彰化縣,13132,7177,1652,1323,1797,488,174,52,130,15,0,324
103年 3月,南投縣,5970,3587,797,795,395,51,90,26,31,3,0,195
103年 3月,雲林縣,5661,2400,1288,721,595,81,243,39,25,11,0,259
103年 3月,嘉義縣,5758,2166,1804,879,508,158,48,15,15,5,0,159
103年 3月,屏東縣,7590,3492,1768,913,915,84,114,51,19,6,0,229
103年 3月,臺東縣,2401,778,200,842,465,19,13,15,5,5,0,60
103年 3月,花蓮縣,3721,2111,632,419,333,37,84,19,15,1,0,70
103年 3月,澎湖縣,975,528,54,73,222,18,15,10,5,1,0,51
103年 3月,基隆市,5357,3173,488,338,897,44,55,4,22,1,0,335
103年 3月,新竹市,5482,3079,526,312,1060,210,34,47,13,0,0,202
103年 3月,嘉義市,4050,1861,1060,379,148,64,181,24,50,0,0,281
103年 3月,金門縣,846,391,192,127,46,8,17,7,6,1,0,53
103年 3月,連江縣,254,82,83,37,8,1,8,5,1,0,0,29
103年 4月,新北市,44142,24016,10839,4028,2479,549,377,93,136,13,0,1614
103年 4月,臺北市,37134,18689,14560,1403,819,72,258,16,97,0,0,1218
103年 4月,桃園市,26133,13470,6596,2528,1580,148,346,158,183,3,0,1121
103年 4月,臺中市,31226,17130,5822,3057,3040,201,431,113,142,9,0,1282
103年 4月,臺南市,23316,12935,6038,1651,1179,129,171,96,75,6,0,1036
103年 4月,高雄市,33969,15762,6039,2801,3237,596,690,252,294,12,0,4286
103年 4月,宜蘭縣,5486,2923,1041,558,523,102,49,22,12,4,0,252
103年 4月,新竹縣,6417,2940,2085,684,466,34,100,34,24,0,0,50
103年 4月,苗栗縣,6101,2485,1382,653,677,109,147,40,41,4,0,564
103年 4月,彰化縣,13251,7396,1762,1418,1459,458,282,51,40,6,0,378
103年 4月,南投縣,5797,3214,1049,742,393,64,107,34,36,4,0,154
103年 4月,雲林縣,5839,2473,1454,602,630,76,254,56,24,16,0,255
103年 4月,嘉義縣,6092,2240,1817,1047,476,204,46,18,13,6,0,224
103年 4月,屏東縣,7899,3014,2103,996,888,104,395,55,22,9,0,314
103年 4月,臺東縣,2359,695,378,797,392,11,12,15,2,5,0,52
103年 4月,花蓮縣,3611,1997,626,427,311,44,85,30,17,1,0,73
103年 4月,澎湖縣,1113,644,106,103,174,14,10,7,2,0,0,52
103年 4月,基隆市,5235,3158,440,369,843,47,48,6,22,1,0,300
103年 4月,新竹市,5752,3254,631,340,1055,218,38,45,11,0,0,161
103年 4月,嘉義市,3942,1827,1017,367,151,42,168,23,46,0,0,300
103年 4月,金門縣,938,426,223,143,57,2,16,4,6,0,0,62
103年 4月,連江縣,235,82,74,35,7,1,4,5,1,0,0,28
103年 5月,新北市,42878,22926,10552,4023,2513,485,367,79,130,14,0,1788
103年 5月,臺北市,39746,21745,13953,1554,708,67,232,29,80,0,0,1377
103年 5月,桃園市,28095,14665,6680,2763,1994,133,349,157,199,3,0,1152
103年 5月,臺中市,31172,17214,5553,3104,3186,189,439,120,139,13,0,1216
103年 5月,臺南市,23661,13097,6125,1919,1040,126,173,102,79,9,0,990
103年 5月,高雄市,33846,15708,6364,2825,3177,623,735,260,301,13,0,3841
103年 5月,宜蘭縣,5653,3088,1001,565,490,102,52,18,14,4,0,318
103年 5月,新竹縣,6656,3090,2112,724,493,35,96,37,25,0,0,44
103年 5月,苗栗縣,6622,3093,1529,681,767,98,144,48,47,4,0,211
103年 5月,彰化縣,13536,7420,1720,1407,1773,530,263,54,53,10,0,306
103年 5月,南投縣,6279,3507,997,824,463,67,152,40,66,3,0,160
103年 5月,雲林縣,6019,2355,1437,705,692,64,286,104,73,11,0,291
103年 5月,嘉義縣,5886,2064,2042,936,407,169,47,23,14,6,0,179
103年 5月,屏東縣,8190,3151,2209,1107,1000,96,267,61,23,9,0,268
103年 5月,臺東縣,2570,840,288,871,476,5,10,19,3,3,0,55
103年 5月,花蓮縣,3730,2107,654,460,314,30,45,17,11,1,0,92
103年 5月,澎湖縣,1152,620,69,98,251,32,15,6,5,1,0,55
103年 5月,基隆市,5770,3653,463,343,884,50,53,6,22,0,0,296
103年 5月,新竹市,6009,3551,557,396,981,231,53,33,15,0,0,191
103年 5月,嘉義市,4001,1890,1080,366,157,51,189,22,52,1,0,192
103年 5月,金門縣,870,423,210,97,59,2,18,6,4,0,0,50
103年 5月,連江縣,249,81,81,37,11,1,5,5,1,0,0,28
103年 6月,新北市,41661,21485,10168,4527,2311,547,342,80,128,14,0,2057
103年 6月,臺北市,41250,24327,12420,1488,883,81,314,22,86,0,0,1631
103年 6月,桃園市,27406,14169,7036,2664,1555,150,411,185,204,3,0,1028
103年 6月,臺中市,31528,17642,5557,3078,3117,194,464,122,144,12,0,1198
103年 6月,臺南市,23745,13039,6116,1790,1216,132,175,106,81,8,0,1081
103年 6月,高雄市,33924,15616,6503,2782,3254,573,852,237,292,6,0,3810
103年 6月,宜蘭縣,5638,2902,1191,636,464,109,56,18,13,5,0,243
103年 6月,新竹縣,6733,3133,2091,725,473,36,140,43,26,0,0,66
103年 6月,苗栗縣,6052,2290,1548,659,769,88,145,44,44,4,0,462
103年 6月,彰化縣,13443,7460,1735,1344,1595,506,282,67,83,7,0,364
103年 6月,南投縣,6389,3553,1069,877,449,60,137,43,46,4,0,150
103年 6月,雲林縣,5970,2502,1501,578,596,69,311,80,22,15,0,297
103年 6月,嘉義縣,6271,2085,2104,926,737,194,52,18,12,5,0,138
103年 6月,屏東縣,8925,3422,2215,1176,980,115,336,71,31,10,0,571
103年 6月,臺東縣,2501,754,325,911,397,13,17,17,4,8,0,55
103年 6月,花蓮縣,3830,2149,620,421,384,61,89,23,14,1,0,67
103年 6月,澎湖縣,1028,454,109,103,256,37,10,9,5,1,0,44
103年 6月,基隆市,5793,3717,485,382,842,45,51,5,27,1,0,238
103年 6月,新竹市,6673,3902,597,609,1027,234,59,51,24,0,0,170
103年 6月,嘉義市,3957,1842,1089,367,185,54,175,20,54,0,0,170
103年 6月,金門縣,876,439,185,96,57,2,21,15,6,0,0,55
103年 6月,連江縣,258,79,81,37,13,1,7,3,1,0,0,37
103年 7月,新北市,37383,20069,8646,3724,2241,483,328,79,108,16,0,1689
103年 7月,臺北市,44017,28514,10360,1812,876,84,325,106,77,0,0,1862
103年 7月,桃園市,29628,15007,6980,3692,1798,188,409,199,226,3,0,1126
103年 7月,臺中市,31948,17651,5877,3193,3079,191,487,124,152,12,0,1181
103年 7月,臺南市,24159,13140,6190,1893,1218,146,181,113,86,9,0,1184
103年 7月,高雄市,35269,16377,6725,2954,3167,636,774,254,330,7,0,4046
103年 7月,宜蘭縣,5740,2941,1131,643,550,111,57,18,15,5,0,268
103年 7月,新竹縣,6838,3188,2171,747,468,33,82,39,26,0,0,85
103年 7月,苗栗縣,6007,2281,1619,734,758,79,141,39,47,7,0,301
103年 7月,彰化縣,13802,7641,1736,1369,1663,546,263,47,62,12,0,462
103年 7月,南投縣,6469,3742,1113,811,442,65,65,39,23,3,0,167
103年 7月,雲林縣,5983,2434,1637,579,569,66,321,57,23,15,0,283
103年 7月,嘉義縣,6396,2152,2106,960,762,168,53,18,12,5,0,162
103年 7月,屏東縣,8962,3490,2156,1226,966,123,336,149,27,8,0,482
103年 7月,臺東縣,2723,881,246,1021,459,5,20,17,4,10,0,60
103年 7月,花蓮縣,3953,2214,726,446,329,38,83,20,14,2,0,81
103年 7月,澎湖縣,960,466,76,99,236,8,7,4,3,0,0,60
103年 7月,基隆市,5773,3626,508,419,841,42,56,3,27,0,0,250
103年 7月,新竹市,6715,3838,730,461,1089,227,61,114,16,0,0,180
103年 7月,嘉義市,3950,1900,1085,363,177,55,191,21,56,0,0,100
103年 7月,金門縣,935,443,206,124,55,2,15,4,4,0,0,81
103年 7月,連江縣,265,81,81,40,13,1,6,2,1,0,0,41
103年 8月,新北市,38075,19466,9479,4427,2188,486,309,90,96,15,0,1520
103年 8月,臺北市,41623,26260,10872,1633,936,48,379,104,155,0,0,1235
103年 8月,桃園市,31076,17292,6764,3405,1605,186,424,193,239,3,0,965
103年 8月,臺中市,31804,17668,5678,3271,3098,202,488,134,154,11,0,1101
103年 8月,臺南市,24275,13221,6229,1898,1188,143,187,118,91,6,0,1193
103年 8月,高雄市,35932,16773,6824,2792,3123,912,558,252,282,7,0,4409
103年 8月,宜蘭縣,5702,2875,1171,636,525,139,51,23,15,4,0,264
103年 8月,新竹縣,6758,3091,2139,774,465,35,97,39,25,1,0,92
103年 8月,苗栗縣,5852,2433,1493,673,670,81,141,39,53,3,0,266
103年 8月,彰化縣,13799,7596,1686,1377,1698,562,262,48,68,10,0,493
103年 8月,南投縣,6613,3502,1144,969,459,62,148,43,44,3,0,241
103年 8月,雲林縣,6078,2550,1621,671,546,63,230,64,24,13,0,296
103年 8月,嘉義縣,6342,2204,2100,953,686,167,51,17,12,3,0,149
103年 8月,屏東縣,9319,3421,2293,1255,953,108,338,153,30,8,0,760
103年 8月,臺東縣,2595,739,210,1044,459,7,14,14,2,53,0,54
103年 8月,花蓮縣,3623,1931,663,461,381,37,37,26,13,1,0,72
103年 8月,澎湖縣,1079,562,66,123,229,15,9,14,4,1,0,55
103年 8月,基隆市,5367,3285,501,382,812,47,51,7,26,0,0,255
103年 8月,新竹市,6773,4086,668,496,994,227,45,72,15,0,0,170
103年 8月,嘉義市,4049,1887,1076,418,170,47,187,19,55,0,0,190
103年 8月,金門縣,999,466,222,140,48,7,18,5,4,0,0,89
103年 8月,連江縣,241,78,67,37,14,1,9,2,1,0,0,33
103年 9月,新北市,39601,19638,10409,4586,2331,429,327,85,91,17,0,1689
103年 9月,臺北市,42793,27021,11439,1624,711,76,291,19,181,0,0,1432
103年 9月,桃園市,32515,16445,6797,5628,1745,198,434,190,255,1,0,822
103年 9月,臺中市,32798,18198,6025,3239,3063,233,487,135,157,10,0,1251
103年 9月,臺南市,24462,13146,6172,1920,1227,145,190,116,88,6,0,1452
103年 9月,高雄市,35181,16412,6588,2825,3033,923,532,275,276,6,0,4311
103年 9月,宜蘭縣,5735,2946,1140,623,537,144,66,19,14,4,0,242
103年 9月,新竹縣,6739,3042,2207,770,457,38,96,42,28,0,0,59
103年 9月,苗栗縣,5894,2237,1606,699,790,72,129,38,44,3,0,275
103年 9月,彰化縣,13819,7682,1672,1387,1668,556,248,44,57,8,0,497
103年 9月,南投縣,6492,3421,1178,946,455,64,122,47,42,4,0,214
103年 9月,雲林縣,6246,2587,1653,641,617,57,264,74,27,14,0,311
103年 9月,嘉義縣,6444,2110,2233,991,689,166,46,17,10,5,0,177
103年 9月,屏東縣,9419,3594,2221,1275,1012,115,339,148,32,7,0,676
103年 9月,臺東縣,2532,823,285,904,416,7,14,16,3,15,0,49
103年 9月,花蓮縣,3816,2114,584,530,330,30,34,17,10,1,0,166
103年 9月,澎湖縣,1159,655,74,113,214,17,11,9,6,1,0,59
103年 9月,基隆市,5830,3571,673,388,814,29,57,4,29,0,0,264
103年 9月,新竹市,6705,3992,690,490,999,234,47,69,27,0,0,157
103年 9月,嘉義市,3967,1857,1001,365,198,65,184,19,54,0,0,225
103年 9月,金門縣,907,443,189,134,55,3,17,5,7,0,0,55
103年 9月,連江縣,228,76,61,36,11,1,4,3,1,0,0,36
103年 10月,新北市,36957,19129,8697,4108,2299,451,357,77,101,14,0,1724
103年 10月,臺北市,42429,24797,13025,2130,724,51,215,20,54,0,0,1415
103年 10月,桃園市,29043,15833,6915,2664,1683,197,474,174,228,2,0,873
103年 10月,臺中市,30470,16924,5157,3182,3127,203,447,113,154,12,0,1150
103年 10月,臺南市,24549,13238,6238,1933,1194,163,204,134,102,7,0,1336
103年 10月,高雄市,36444,17380,6353,2753,3279,1022,550,299,298,6,0,4505
103年 10月,宜蘭縣,5704,2937,1139,617,542,138,57,18,15,4,0,238
103年 10月,新竹縣,7078,3150,2360,803,509,27,77,48,32,0,0,72
103年 10月,苗栗縣,6245,2399,1664,761,851,87,140,37,48,2,0,256
103年 10月,彰化縣,13907,7504,1862,1423,1668,549,284,47,57,7,0,506
103年 10月,南投縣,6562,3512,919,1096,439,66,240,50,34,2,0,205
103年 10月,雲林縣,6058,2442,1797,613,534,55,262,36,25,18,0,275
